hora,tipo,nivel,vehiculo_id,vehiculo_tipo,espacios_libres,tiempo_espera_s,tiempo_estacion_s,mensaje
18:45:52,sistema,info,,,,,,📋 Gestor de métricas iniciado
18:45:52,sistema,info,,,9,,,✅ Simulador iniciado
18:46:00,vehiculo_nuevo,info,1,Normal,9,,,🚘 V001 [Normal] → En camino creado
18:46:01,espera,warning,1,Normal,9,,,⏳ V001 esperando cupo...
18:46:01,ingreso,success,1,Normal,8,,,✅ V001 ingresó → Espacio #1 | Espera: 0.0s
18:46:09,vehiculo_nuevo,info,2,Normal,8,,,🚘 V002 [Normal] → En camino creado
18:46:10,espera,warning,2,Normal,8,,,⏳ V002 esperando cupo...
18:46:10,ingreso,success,2,Normal,7,,,✅ V002 ingresó → Espacio #2 | Espera: 0.0s
18:46:11,salida,info,1,Normal,8,,9.74,V001 salio | Estacionado: 9.74s
18:46:20,vehiculo_nuevo,info,3,Normal,8,,,🚘 V003 [Normal] → En camino creado
18:46:22,espera,warning,3,Normal,8,,,⏳ V003 esperando cupo...
18:46:23,ingreso,success,3,Normal,7,,,✅ V003 ingresó → Espacio #1 | Espera: 0.0s
18:46:25,salida,info,2,Normal,8,,14.26,V002 salio | Estacionado: 14.26s
18:46:29,vehiculo_nuevo,info,4,Normal,8,,,🚘 V004 [Normal] → En camino creado
18:46:30,espera,warning,4,Normal,8,,,⏳ V004 esperando cupo...
18:46:30,ingreso,success,4,Normal,7,,,✅ V004 ingresó → Espacio #2 | Espera: 0.0s
18:46:31,salida,info,3,Normal,8,,8.66,V003 salio | Estacionado: 8.66s
18:46:39,vehiculo_nuevo,info,5,Normal,8,,,🚘 V005 [Normal] → En camino creado
18:46:40,salida,info,4,Normal,9,,9.39,V004 salio | Estacionado: 9.39s
18:46:40,espera,warning,5,Normal,9,,,⏳ V005 esperando cupo...
18:46:41,ingreso,success,5,Normal,8,,,✅ V005 ingresó → Espacio #1 | Espera: 0.0s
18:46:49,vehiculo_nuevo,info,6,Normal,8,,,🚘 V006 [Normal] → En camino creado
18:46:51,espera,warning,6,Normal,8,,,⏳ V006 esperando cupo...
18:46:51,ingreso,success,6,Normal,7,,,✅ V006 ingresó → Espacio #2 | Espera: 0.0s
18:46:52,salida,info,5,Normal,8,,11.14,V005 salio | Estacionado: 11.14s
18:47:00,vehiculo_nuevo,info,7,Normal,8,,,🚘 V007 [Normal] → En camino creado
18:47:02,espera,warning,7,Normal,8,,,⏳ V007 esperando cupo...
18:47:02,ingreso,success,7,Normal,7,,,✅ V007 ingresó → Espacio #1 | Espera: 0.0s
18:47:04,salida,info,6,Normal,8,,13.64,V006 salio | Estacionado: 13.64s
18:47:09,vehiculo_nuevo,info,8,Normal,8,,,🚘 V008 [Normal] → En camino creado
18:47:10,espera,warning,8,Normal,8,,,⏳ V008 esperando cupo...
18:47:11,ingreso,success,8,Normal,7,,,✅ V008 ingresó → Espacio #2 | Espera: 0.0s
18:47:11,salida,info,7,Normal,8,,9.51,V007 salio | Estacionado: 9.51s
18:47:17,vehiculo_nuevo,info,9,Normal,8,,,🚘 V009 [Normal] → En camino creado
18:47:17,vehiculo_nuevo,info,10,Normal,8,,,🚘 V010 [Normal] → En camino creado
18:47:18,espera,warning,9,Normal,8,,,⏳ V009 esperando cupo...
18:47:19,ingreso,success,9,Normal,7,,,✅ V009 ingresó → Espacio #1 | Espera: 0.0s
18:47:19,vehiculo_nuevo,info,11,Normal,7,,,🚘 V011 [Normal] → En camino creado
18:47:20,espera,warning,10,Normal,7,,,⏳ V010 esperando cupo...
18:47:21,ingreso,success,10,Normal,6,,,✅ V010 ingresó → Espacio #3 | Espera: 0.0s
18:47:22,salida,info,8,Normal,7,,8.73,V008 salio | Estacionado: 8.73s
18:47:23,vehiculo_nuevo,info,12,Normal,7,,,🚘 V012 [Normal] → En camino creado
18:47:23,vehiculo_nuevo,info,13,Normal,7,,,🚘 V013 [Normal] → En camino creado
18:47:24,espera,warning,11,Normal,7,,,⏳ V011 esperando cupo...
18:47:25,ingreso,success,11,Normal,6,,,✅ V011 ingresó → Espacio #2 | Espera: 0.0s
18:47:25,espera,warning,12,Normal,6,,,⏳ V012 esperando cupo...
18:47:26,ingreso,success,12,Normal,5,,,✅ V012 ingresó → Espacio #4 | Espera: 0.0s
18:47:26,espera,warning,13,Normal,5,,,⏳ V013 esperando cupo...
18:47:27,ingreso,success,13,Normal,4,,,✅ V013 ingresó → Espacio #5 | Espera: 0.0s
18:47:28,vehiculo_nuevo,info,14,Normal,4,,,🚘 V014 [Normal] → En camino creado
18:47:29,salida,info,9,Normal,5,,10.65,V009 salio | Estacionado: 10.65s
18:47:30,espera,warning,14,Normal,5,,,⏳ V014 esperando cupo...
18:47:31,ingreso,success,14,Normal,4,,,✅ V014 ingresó → Espacio #1 | Espera: 0.0s
18:47:31,salida,info,12,Normal,5,,8.71,V012 salio | Estacionado: 8.71s
18:47:31,salida,info,11,Normal,6,,9.63,V011 salio | Estacionado: 9.63s
18:47:32,salida,info,13,Normal,7,,9.95,V013 salio | Estacionado: 9.95s
18:47:33,salida,info,10,Normal,8,,14.03,V010 salio | Estacionado: 14.03s
18:47:38,vehiculo_nuevo,info,15,Normal,8,,,🚘 V015 [Normal] → En camino creado
18:47:40,espera,warning,15,Normal,8,,,⏳ V015 esperando cupo...
18:47:40,ingreso,success,15,Normal,7,,,✅ V015 ingresó → Espacio #2 | Espera: 0.0s
18:47:40,salida,info,14,Normal,8,,10.49,V014 salio | Estacionado: 10.49s
18:47:49,vehiculo_nuevo,info,16,Normal,8,,,🚘 V016 [Normal] → En camino creado
18:47:50,espera,warning,16,Normal,8,,,⏳ V016 esperando cupo...
18:47:51,ingreso,success,16,Normal,7,,,✅ V016 ingresó → Espacio #1 | Espera: 0.0s
18:47:52,salida,info,15,Normal,8,,12.54,V015 salio | Estacionado: 12.54s
18:48:00,salida,info,16,Normal,9,,9.71,V016 salio | Estacionado: 9.71s
18:48:00,vehiculo_nuevo,info,17,Normal,9,,,🚘 V017 [Normal] → En camino creado
18:48:01,espera,warning,17,Normal,9,,,⏳ V017 esperando cupo...
18:48:01,ingreso,success,17,Normal,8,,,✅ V017 ingresó → Espacio #1 | Espera: 0.0s
18:48:03,vehiculo_nuevo,info,18,Normal,8,,,🚘 V018 [Normal] → En camino creado
18:48:04,espera,warning,18,Normal,8,,,⏳ V018 esperando cupo...
18:48:05,ingreso,success,18,Normal,7,,,✅ V018 ingresó → Espacio #2 | Espera: 0.0s
18:48:09,vehiculo_nuevo,info,19,Normal,7,,,🚘 V019 [Normal] → En camino creado
18:48:11,espera,warning,19,Normal,7,,,⏳ V019 esperando cupo...
18:48:11,ingreso,success,19,Normal,6,,,✅ V019 ingresó → Espacio #3 | Espera: 0.0s
18:48:13,vehiculo_nuevo,info,20,Normal,6,,,🚘 V020 [Normal] → En camino creado
18:48:14,salida,info,17,Normal,7,,12.48,V017 salio | Estacionado: 12.48s
18:48:15,espera,warning,20,Normal,7,,,⏳ V020 esperando cupo...
18:48:15,ingreso,success,20,Normal,6,,,✅ V020 ingresó → Espacio #1 | Espera: 0.0s
18:48:18,salida,info,19,Normal,7,,8.24,V019 salio | Estacionado: 8.24s
18:48:18,salida,info,18,Normal,8,,13.9,V018 salio | Estacionado: 13.9s
18:48:22,vehiculo_nuevo,info,21,Normal,8,,,🚘 V021 [Normal] → En camino creado
18:48:24,espera,warning,21,Normal,8,,,⏳ V021 esperando cupo...
18:48:24,ingreso,success,21,Normal,7,,,✅ V021 ingresó → Espacio #2 | Espera: 0.0s
18:48:26,vehiculo_nuevo,info,22,Normal,7,,,🚘 V022 [Normal] → En camino creado
18:48:28,espera,warning,22,Normal,7,,,⏳ V022 esperando cupo...
18:48:28,ingreso,success,22,Normal,6,,,✅ V022 ingresó → Espacio #3 | Espera: 0.0s
18:48:29,salida,info,20,Normal,7,,14.39,V020 salio | Estacionado: 14.39s
18:48:31,vehiculo_nuevo,info,23,Normal,7,,,🚘 V023 [Normal] → En camino creado
18:48:31,vehiculo_nuevo,info,24,Normal,7,,,🚘 V024 [Normal] → En camino creado
18:48:33,espera,warning,23,Normal,7,,,⏳ V023 esperando cupo...
18:48:33,ingreso,success,23,Normal,6,,,✅ V023 ingresó → Espacio #1 | Espera: 0.0s
18:48:34,espera,warning,24,Normal,6,,,⏳ V024 esperando cupo...
18:48:34,ingreso,success,24,Normal,5,,,✅ V024 ingresó → Espacio #4 | Espera: 0.0s
18:48:36,vehiculo_nuevo,info,25,Normal,5,,,🚘 V025 [Normal] → En camino creado
18:48:36,salida,info,21,Normal,6,,12.62,V021 salio | Estacionado: 12.62s
18:48:38,espera,warning,25,Normal,6,,,⏳ V025 esperando cupo...
18:48:39,ingreso,success,25,Normal,5,,,✅ V025 ingresó → Espacio #2 | Espera: 0.0s
18:48:39,salida,info,22,Normal,6,,11.21,V022 salio | Estacionado: 11.21s
18:48:41,vehiculo_nuevo,info,26,Normal,6,,,🚘 V026 [Normal] → En camino creado
18:48:43,espera,warning,26,Normal,6,,,⏳ V026 esperando cupo...
