hora,tipo,nivel,vehiculo_id,vehiculo_tipo,espacios_libres,tiempo_espera_s,tiempo_estacion_s,mensaje
18:11:40,sistema,info,,,,,,📋 Gestor de métricas iniciado
18:11:40,sistema,info,,,6,,,✅ Simulador iniciado
18:11:41,vehiculo_nuevo,info,1,Normal,6,,,🚘 V001 [Normal] → En camino creado
18:11:42,espera,warning,1,Normal,6,,,⏳ V001 esperando cupo...
18:11:43,ingreso,success,1,Normal,5,,,✅ V001 ingresó → Espacio #1 | Espera: 0.0s
18:11:45,vehiculo_nuevo,info,2,Normal,5,,,🚘 V002 [Normal] → En camino creado
18:11:46,salida,info,1,Normal,6,,3.39,🚪 V001 salió | Estacionado: 3.39s
18:11:48,espera,warning,2,Normal,6,,,⏳ V002 esperando cupo...
18:11:49,ingreso,success,2,Normal,5,,,✅ V002 ingresó → Espacio #1 | Espera: 0.0s
18:11:50,vehiculo_nuevo,info,3,Discapacidad,5,,,🚘 V003 [Discapacidad] → En camino creado
18:11:51,espera,warning,3,Discapacidad,5,,,⏳ V003 esperando cupo...
18:11:51,ingreso,success,3,Discapacidad,4,,,✅ V003 ingresó → Espacio #2 | Espera: 0.0s
18:11:54,salida,info,2,Normal,5,,5.38,🚪 V002 salió | Estacionado: 5.38s
18:11:54,vehiculo_nuevo,info,4,Normal,5,,,🚘 V004 [Normal] → En camino creado
18:11:55,salida,info,3,Discapacidad,6,,4.11,🚪 V003 salió | Estacionado: 4.11s
18:11:56,espera,warning,4,Normal,6,,,⏳ V004 esperando cupo...
18:11:56,ingreso,success,4,Normal,5,,,✅ V004 ingresó → Espacio #1 | Espera: 0.0s
18:11:58,vehiculo_nuevo,info,5,Normal,5,,,🚘 V005 [Normal] → En camino creado
18:11:59,espera,warning,5,Normal,5,,,⏳ V005 esperando cupo...
18:12:00,ingreso,success,5,Normal,4,,,✅ V005 ingresó → Espacio #2 | Espera: 0.0s
18:12:00,salida,info,4,Normal,5,,4.53,🚪 V004 salió | Estacionado: 4.53s
18:12:01,vehiculo_nuevo,info,6,Normal,5,,,🚘 V006 [Normal] → En camino creado
18:12:03,espera,warning,6,Normal,5,,,⏳ V006 esperando cupo...
18:12:04,ingreso,success,6,Normal,4,,,✅ V006 ingresó → Espacio #1 | Espera: 0.0s
18:12:05,salida,info,5,Normal,5,,5.25,🚪 V005 salió | Estacionado: 5.25s
18:12:06,vehiculo_nuevo,info,7,Normal,5,,,🚘 V007 [Normal] → En camino creado
18:12:08,espera,warning,7,Normal,5,,,⏳ V007 esperando cupo...
18:12:08,ingreso,success,7,Normal,4,,,✅ V007 ingresó → Espacio #2 | Espera: 0.0s
